Exp No;Exp Name;Run Order;Incl/Excl;kernel_size;aggregation_mode;n_filters;fc_dim1;dropout;MSE;R2
1;N1;1;Incl;5;avg;1;128;0,1;;
2;N2;10;Incl;1;max;1;32;0,1;;
3;N3;9;Incl;5;conv;5;128;0,1;;
4;N4;7;Incl;1;avg;5;128;0,1;;
5;N5;3;Incl;5;avg;5;32;0,1;;
6;N6;13;Incl;1;conv;1;128;0,5;;
7;N7;8;Incl;5;conv;1;32;0,5;;
8;N8;4;Incl;1;avg;1;32;0,5;;
9;N9;5;Incl;1;conv;5;32;0,5;;
10;N10;6;Incl;5;max;5;128;0,5;;
11;N11;11;Incl;3;max;3;80;0,3;;
12;N12;2;Incl;3;max;3;80;0,3;;
13;N13;12;Incl;3;max;3;80;0,3;;
