Exp No;Exp Name;Run Order;Incl/Excl;kernel_size;aggregation_mode;n_filters;fc_dim1;dropout;MSE;R2
1;N1;16;Incl;1;conv;1;32;0,1;;
2;N2;18;Incl;5;conv;1;128;0,1;;
3;N3;17;Incl;1;avg;1;128;0,1;;
4;N4;21;Incl;5;avg;1;32;0,1;;
5;N5;20;Incl;1;max;1;32;0,1;;
6;N6;22;Incl;5;max;1;128;0,1;;
7;N7;7;Incl;1;conv;5;128;0,1;;
8;N8;25;Incl;5;conv;5;32;0,1;;
9;N9;27;Incl;1;avg;5;32;0,1;;
10;N10;14;Incl;5;avg;5;128;0,1;;
11;N11;5;Incl;1;max;5;128;0,1;;
12;N12;13;Incl;5;max;5;32;0,1;;
13;N13;1;Incl;1;conv;1;128;0,5;;
14;N14;23;Incl;5;conv;1;32;0,5;;
15;N15;24;Incl;1;avg;1;32;0,5;;
16;N16;12;Incl;5;avg;1;128;0,5;;
17;N17;6;Incl;1;max;1;128;0,5;;
18;N18;8;Incl;5;max;1;32;0,5;;
19;N19;3;Incl;1;conv;5;32;0,5;;
20;N20;26;Incl;5;conv;5;128;0,5;;
21;N21;4;Incl;1;avg;5;128;0,5;;
22;N22;10;Incl;5;avg;5;32;0,5;;
23;N23;19;Incl;1;max;5;32;0,5;;
24;N24;2;Incl;5;max;5;128;0,5;;
25;N25;15;Incl;3;max;3;80;0,3;;
26;N26;11;Incl;3;max;3;80;0,3;;
27;N27;9;Incl;3;max;3;80;0,3;;
