Exp No;Exp Name;Run Order;Incl/Excl;kernel_size;aggregation_mode;n_filters;fc_dim1;dropout;MSE;R2
1;N1;3;Incl;1;conv;1;32;0,1;;
2;N2;1;Incl;5;conv;1;128;0,1;;
3;N3;25;Incl;1;avg;1;128;0,1;;
4;N4;13;Incl;5;avg;1;32;0,1;;
5;N5;24;Incl;1;max;1;128;0,1;;
6;N6;2;Incl;5;max;1;32;0,1;;
7;N7;5;Incl;1;conv;5;128;0,1;;
8;N8;11;Incl;5;conv;5;32;0,1;;
9;N9;19;Incl;1;avg;5;32;0,1;;
10;N10;20;Incl;5;avg;5;128;0,1;;
11;N11;7;Incl;1;max;5;32;0,1;;
12;N12;27;Incl;5;max;5;128;0,1;;
13;N13;14;Incl;1;conv;1;128;0,5;;
14;N14;18;Incl;5;conv;1;32;0,5;;
15;N15;16;Incl;1;avg;1;32;0,5;;
16;N16;23;Incl;5;avg;1;128;0,5;;
17;N17;26;Incl;1;max;1;32;0,5;;
18;N18;8;Incl;5;max;1;128;0,5;;
19;N19;21;Incl;1;conv;5;32;0,5;;
20;N20;6;Incl;5;conv;5;128;0,5;;
21;N21;17;Incl;1;avg;5;128;0,5;;
22;N22;9;Incl;5;avg;5;32;0,5;;
23;N23;4;Incl;1;max;5;128;0,5;;
24;N24;22;Incl;5;max;5;32;0,5;;
25;N25;10;Incl;3;max;3;80;0,3;;
26;N26;12;Incl;3;max;3;80;0,3;;
27;N27;15;Incl;3;max;3;80;0,3;;
