	syrah
C-DEJ-129	0
C-DUB-001	0
C-DUB-055_2	0
C-DUB-153	0
C-DUB-247	0
C-LNA-0087	0
chardonnay-DUB-083	0
G-DEJ-067	0
G-DEJ-197	0
G-DUB-006	0
G-DUB-076	0
G-DUB-210	0
G-LNA-0083	0
G-LNA-0126	0
G-LNA-0169	0
M-DEJ-133	0
M-DEJ-176	0
M-DEJ-192	0
M-DUB-032	0
M-DUB-090	0
M-DUB-098	0
M-DUB-138	0
M-DUB-168	0
M-DUB-331	0
M-IOC-028_3	0
P-DEJ-118	0
P-DEJ-208	0
P-DUB-015	0
P-DUB-345	0
P-IOC-034	0
P-IOC-055	0
S-DEJ-064	1
S-DEJ-089	1
S-DEJ-149	1
S-DEJ-188	1
S-DUB-002	1
S-DUB-039	1
S-DUB-051	1
S-DUB-128	1
S-DUB-152	1
S-DUB-181	1
S-DUB-186	1
S-DUB-204	1
S-DUB-211	1
S-DUB-240_1	1
S-DUB-248	1
S-DUB-352	1
S-LNA-0074	1
S-LNA-0170	1
