	syrah
C-DEJ-070	0
C-DEJ-094	0
C-DEJ-107	0
C-DEJ-170	0
C-DEJ-193	0
C-DEJ-211	0
C-DUB-036	0
C-DUB-041	0
C-DUB-055_1	0
C-DUB-055_3	0
C-DUB-129	0
C-DUB-143	0
C-DUB-208	0
C-DUB-226	0
C-DUB-242	0
C-DUB-333	0
C-LNA-0066	0
C-LNA-0071	0
C-LNA-0124	0
C-LNA-0163	0
C-LNA-0167	0
chardonnay-DUB-083	0
chardonnay-DUB-220	0
G-DEJ-054	0
G-DEJ-106	0
G-DEJ-134	0
G-DEJ-171	0
G-DEJ-202	0
G-DEJ-203	0
G-DEJ-210	0
G-DUB-034	0
G-DUB-053	0
G-DUB-068	0
G-DUB-126	0
G-DUB-155	0
G-DUB-197	0
G-DUB-224	0
G-DUB-239	0
G-DUB-246	0
G-LNA-0085_1	0
G-LNA-0085_2	0
G-LNA-0085_3	0
G-LNA-0161	0
G-LNA-0161_2	0
G-LNA-0164	0
M-DEJ-120	0
M-DEJ-122	0
M-DEJ-123	0
M-DEJ-148	0
M-DEJ-154	0
M-DEJ-173	0
M-DEJ-178	0
M-DEJ-182	0
M-DEJ-191	0
M-DUB-008	0
M-DUB-026	0
M-DUB-030	0
M-DUB-067	0
M-DUB-078	0
M-DUB-080	0
M-DUB-094	0
M-DUB-095	0
M-DUB-097	0
M-DUB-099	0
M-DUB-131	0
M-DUB-132	0
M-DUB-139	0
M-DUB-146	0
M-DUB-166	0
M-DUB-169	0
M-DUB-171	0
M-DUB-172	0
M-DUB-349	0
M-IOC-028_1	0
M-IOC-028_2	0
M-LNA-0063	0
P-DEJ-103	0
P-DEJ-108	0
P-DEJ-151	0
P-DEJ-155	0
P-DEJ-180	0
P-DEJ-209	0
P-DUB-013	0
P-DUB-014	0
P-DUB-236	0
P-DUB-334	0
P-DUB-337	0
P-DUB-350	0
P-IOC-012	0
P-IOC-025	0
P-IOC-041	0
P-IOC-046	0
P-IOC-049	0
P-IOC-066	0
P-IOC-068	0
P-IOC-072	0
S-DEJ-066	1
S-DEJ-071	1
S-DEJ-086	1
S-DEJ-091	1
S-DEJ-104	1
S-DEJ-147	1
S-DEJ-169	1
S-DEJ-174	1
S-DEJ-187	1
S-DEJ-198	1
S-DEJ-199	1
S-DEJ-212	1
S-DUB-004	1
S-DUB-007	1
S-DUB-031	1
S-DUB-040	1
S-DUB-042	1
S-DUB-043	1
S-DUB-077	1
S-DUB-087	1
S-DUB-127	1
S-DUB-144	1
S-DUB-149	1
S-DUB-150	1
S-DUB-156	1
S-DUB-173	1
S-DUB-178	1
S-DUB-182	1
S-DUB-183	1
S-DUB-185	1
S-DUB-199	1
S-DUB-201	1
S-DUB-202	1
S-DUB-205	1
S-DUB-206	1
S-DUB-207	1
S-DUB-217	1
S-DUB-225	1
S-DUB-235	1
S-DUB-240_2	1
S-DUB-240_3	1
S-DUB-244	1
S-DUB-322	1
S-DUB-347	1
S-DUB-351	1
S-LNA-0064	1
S-LNA-0069	1
S-LNA-0070	1
S-LNA-0114	1
S-LNA-0143	1
S-LNA-0166	1
