filter_size,n_models,lr,rmse,std,coverage
3,10,0.0001,0.7055161609298681,0.11558204838400682,41.90620272314675
3,10,0.001,0.6842033939331459,0.2889934175519673,77.40796772566819
3,10,0.01,0.741751433849128,0.24281042526415333,66.06152294503278
5,10,0.0001,0.7017969648763865,0.1798980011078994,57.639939485627835
5,10,0.001,0.669835579640517,0.2557387890445293,74.73524962178517
5,10,0.01,0.7360424054369238,0.23763589603015645,66.56580937972768
7,10,0.0001,0.727280427916869,0.15150436831222355,47.907211296016136
7,10,0.001,0.6785586957783198,0.21833263335241956,66.71709531013616
7,10,0.01,0.7676207107727895,0.20345577408544818,59.05194150277357
3,30,0.0001,0.6996663862990615,0.1413697126366265,48.613212304589005
3,30,0.001,0.6806243996111694,0.294090125299593,80.18154311649016
3,30,0.01,0.7354839014812743,0.3045851973718561,77.81139687342412
5,30,0.0001,0.6913273897745197,0.16572787771344266,55.21936459909228
5,30,0.001,0.6644036952551408,0.2596905115399565,76.2481089258699
5,30,0.01,0.7303395420587702,0.34082647088203,83.61069087241553
7,30,0.0001,0.7172449369999597,0.17025194264406,54.10993444276349
7,30,0.001,0.6742211574129999,0.24976651722584706,72.71810388300554
7,30,0.01,0.7293144029918353,0.26369386752303114,73.62581946545637
3,50,0.0001,0.6956391418265205,0.14107404080885824,48.86535552193646
3,50,0.001,0.6798379724356952,0.28478289467111423,79.07211296016136
3,50,0.01,0.7407533522681379,0.33580825110126916,82.55168935955622
5,50,0.0001,0.6854293056177627,0.16201774926183662,54.71507816439738
5,50,0.001,0.6653165145394587,0.2599360531874427,75.84467977811397
5,50,0.01,0.7309549671935842,0.3474164867947289,85.07312153303076
7,50,0.0001,0.7098829608933942,0.18064043180783948,56.63136661623802
7,50,0.001,0.674974705182837,0.25294801364502423,74.0292486132123
7,50,0.01,0.7250424647864462,0.27209095171956194,74.93696419566314
3,100,0.0001,0.688640090707752,0.1402915554031096,48.96621280887544
3,100,0.001,0.6737324291957091,0.28119100259357777,79.22339889056984
3,100,0.01,0.7381261507475015,0.3162918457775944,79.92939989914272
5,100,0.0001,0.672573315140065,0.16236083964047832,56.68179525970751
5,100,0.001,0.6606515234079627,0.24897407963634235,74.53353504790721
5,100,0.01,0.7299992419429583,0.3439439203542907,84.72012102874432
7,100,0.0001,0.6923118012864082,0.18363568795950724,58.749369641956626
7,100,0.001,0.6686763494692217,0.25666143492946597,75.84467977811397
7,100,0.01,0.7211832536020015,0.30742162803937073,80.68582955118508
